"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","518","test_get_inventories_by_status","tests","Mon Sep 15 22:35:59 EEST 2025","passed","Mon Sep 15 22:36:00 EEST 2025","","test_store_api","",""
"","648","test_upload_pet_image","tests","Mon Sep 15 22:35:59 EEST 2025","passed","Mon Sep 15 22:35:59 EEST 2025","","test_pet_api","",""
"","7693","test_update_pet_with_form","tests","Mon Sep 15 22:35:50 EEST 2025","failed","Mon Sep 15 22:35:58 EEST 2025","","test_pet_api","",""
"","750","test_find_pet_by_status","tests","Mon Sep 15 22:35:49 EEST 2025","passed","Mon Sep 15 22:35:50 EEST 2025","","test_pet_api","",""
"","514","test_delete_pet","tests","Mon Sep 15 22:35:58 EEST 2025","broken","Mon Sep 15 22:35:59 EEST 2025","","test_pet_api","",""
"","518","test_find_purchase_order_by_id","tests","Mon Sep 15 22:36:00 EEST 2025","passed","Mon Sep 15 22:36:01 EEST 2025","","test_store_api","",""
"","1","test_add_pet","tests","Mon Sep 15 22:35:49 EEST 2025","passed","Mon Sep 15 22:35:49 EEST 2025","","test_pet_api","",""
"","603","test_find_pet_by_id","tests","Mon Sep 15 22:35:50 EEST 2025","passed","Mon Sep 15 22:35:50 EEST 2025","","test_pet_api","",""
"","0","test_create_first_order","tests","Mon Sep 15 22:36:00 EEST 2025","passed","Mon Sep 15 22:36:00 EEST 2025","","test_store_api","",""
"","513","test_delete_purchase_order_by_id","tests","Mon Sep 15 22:36:01 EEST 2025","failed","Mon Sep 15 22:36:01 EEST 2025","","test_store_api","",""
"","1","test_update_pet","tests","Mon Sep 15 22:35:49 EEST 2025","passed","Mon Sep 15 22:35:49 EEST 2025","","test_pet_api","",""
